"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 16:58:06 GMT 2023","Wed Nov 29 16:58:06 GMT 2023","4","tests.unit.backend.layers.api","test_portal_api","TestCollection","","","test__post_collection_ignores_metadata_if_no_doi",""
"passed","Wed Nov 29 16:58:04 GMT 2023","Wed Nov 29 16:58:04 GMT 2023","27","tests.unit.backend.layers.api","test_curation_api","TestS3Credentials","","","test__generate_s3_credentials__OK",""
"passed","Wed Nov 29 16:58:35 GMT 2023","Wed Nov 29 16:58:36 GMT 2023","345","tests.unit.backend.wmg.api.common","test_expression_dotplot","ExpressionDotPlotTest","","","test__query_agg_cell_type_counts__returns_correct_result",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","14","tests.unit.backend.layers.business","test_business","TestDeleteDataset","","","test_delete_published_dataset__fail",""
"passed","Wed Nov 29 16:58:17 GMT 2023","Wed Nov 29 16:58:17 GMT 2023","0","tests.unit.backend.layers.utils","test_type_conversion_utils","TestTypeInference_0","","","test_type_inference",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","2","tests.unit.backend.layers.business","test_business","TestUpdateCollectionDatasets","","","test_replace_dataset_on_empty_dataset_does_not_generate_new_ok","
        Calling `ingest_dataset` and specifying an existing dataset that is empty should start the ingestion
        without creating a new dataset version
        "
"passed","Wed Nov 29 16:58:05 GMT 2023","Wed Nov 29 16:58:05 GMT 2023","10","tests.unit.backend.layers.api","test_curation_api","TestGetCollections","","","test__verify_expected_public_collection_fields",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","5","tests.unit.backend.layers.business","test_business","TestCollectionOperations","","","test_publish_version_fails_on_mismatching_dataset_schema_versions","
        `publish_collection_version` should fail if called on a collection version with datasets that have mismatching
        schema versions
        "
"passed","Wed Nov 29 16:58:16 GMT 2023","Wed Nov 29 16:58:16 GMT 2023","21","tests.unit.backend.layers.utils","test_cxg_generation_utils","TestCxgGenerationUtils","","","test__convert_dataframe_to_cxg_array__writes_successfully",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","4","tests.unit.backend.layers.api","test_portal_api","TestDataset","","","test__cancel_dataset_download__user_not_logged_in",""
"passed","Wed Nov 29 16:58:08 GMT 2023","Wed Nov 29 16:58:08 GMT 2023","7","tests.unit.backend.layers.business","test_business","TestUpdateCollectionDatasets","","","test_remove_dataset_from_published_collection_fail","
        Removing a dataset from a published collection should fail
        "
"passed","Wed Nov 29 16:58:09 GMT 2023","Wed Nov 29 16:58:09 GMT 2023","191","tests.unit.backend.layers.utils","test_aws","TestDeleteManyFromS3","","","test_delete_from_s3_raises_error_for_missing_dataset_id",""
"passed","Wed Nov 29 16:59:23 GMT 2023","Wed Nov 29 16:59:23 GMT 2023","1","tests.unit.processing","test_handle_error","","","","test_get_failure_slack_notification_message_with_dataset_version_id_none",""
"passed","Wed Nov 29 16:58:07 GMT 2023","Wed Nov 29 16:58:07 GMT 2023","5","tests.unit.backend.layers.api","test_portal_api","TestCollectionUploadLinkCurators","","","test__can_upload_dataset_to_non_owned_collection_as_super_curator","
        A super curator can upload a dataset to a non-owned collection
        "
"passed","Wed Nov 29 16:59:22 GMT 2023","Wed Nov 29 16:59:22 GMT 2023","3","tests.unit.processing","test_dataset_submissions","TestDatasetSubmissions","","","test__upload_update_by_dataset_id_super__OK","
        Processing starts when an update of a dataset is uploaded by its ID by a super curator
        "
